Date Added,Brewery,Beer,untappd,Left,Price,ABV,Comment,Released Date,Style,,,Days scince Brewed,Resently Added
28-Apr-2026,Russian River,Pliny the Elder,4.49,4,1,8.00%,,09-Apr-2026,West Coast DIPA,Russian River - Pliny the Elder,4,20,Yes
27-Apr-2026,Lolev,Parabellum,4.5,5,1,9.30%,Off Script Colab,11-Apr-2026,Ultra Hopped Ale,Lolev - Parabellum,5,18,Yes
27-Apr-2026,Monkish,Taste Bud,4.42,2,1,10.60%,,03-Apr-2026,Triple IPA,Monkish - Taste Bud,2,26,Yes
27-Apr-2026,Monkish,Flip Fly Flows,4.35,3,1,8.60%,,28-Mar-2026,Double IPA,Monkish - Flip Fly Flows,3,32,Yes
27-Apr-2026,North Park,Cloudcaster,4.32,5,1,8.40%,,06-Apr-2026,TDH Hazy DIPA,North Park - Cloudcaster,5,23,Yes
27-Apr-2026,Lolev,Harvest II,4.49,2,1,8.30%,,11-Apr-2026,Ultra Hopped Ale,Lolev - Harvest II,2,18,Yes
27-Apr-2026,Monkish,Heads Nor Tails,4.42,3,1,10.50%,,28-Mar-2026,Triple IPA,Monkish - Heads Nor Tails,3,32,Yes
31-Mar-2026,Brujos,El Sacerdote Araña,4.52,6,1,9.40%,2nd Anniversary - Colab with RaR,04-Mar-2026,Hop Satutated Ale,Brujos - El Sacerdote Araña,6,56,Yes
26-Apr-2026,Fidens,Elemental Art,4.71,2,1,10.50%,,13-Apr-2026,Triple IPA,Fidens - Elemental Art,2,16,Yes
27-Apr-2026,Lolev,Tiger,4.51,5,1,8.00%,,08-Apr-2026,Ultra Hopped Ale,Lolev - Tiger,5,21,Yes
02-Apr-2026,Rar,Personal Plague,4.3,1,1,8.50%,,18-Mar-2026,Hazy DIPA,Rar - Personal Plague,1,42,Yes
02-Apr-2026,The Alchemist,Heady Topper,4.52,3,1,8.00%,,12-Mar-2026,American DIPA,The Alchemist - Heady Topper,3,48,Yes
27-Apr-2026,Tree House,King Julius,4.6,1,1,8.20%,,11-Mar-2026,Tree House Double IPA,Tree House - King Julius,1,49,Yes
27-Mar-2026,Trillium,Twice Daily Serving: Raspberry,4.49,4,1,7.00%,,02-Mar-2026,Fruited Berliner Weisse,Trillium - Twice Daily Serving: Raspberry,4,58,Yes
27-Mar-2026,Trillium,DDH Congress St,4.48,1,1,7.20%,,26-Feb-2026,NEIPA,Trillium - DDH Congress St,1,62,Yes
27-Mar-2026,Trillium,Rabbit The Club,4.06,3,1,8.00%,,03-Mar-2026,West Coast DIPA,Trillium - Rabbit The Club,3,57,Yes
02-Apr-2026,Rar,Eternal Prankster,4.38,5,1,8.00%,Colab with Brujos,19-Mar-2026,Hazy DIPA,Rar - Eternal Prankster,5,41,Yes
15-Apr-2026,Bakes Brewing,Medalist,4.14,5,1,6.80%,,26-Mar-2026,IPA,Bakes Brewing - Medalist,5,34,Yes
31-Mar-2026,Brujos,Satan to the Masses,4.61,6,1,10.10%,2nd Anniversary - Colab with Troon,06-Mar-2026,Hoppy Ale,Brujos - Satan to the Masses,6,54,Yes
27-Apr-2026,Brujos,Populas,4.41,6,1,7.50%,,27-Mar-2026,DDH Hazy IPA,Brujos - Populas,6,33,Yes
